書名,特集タイトル,URL
ユリイカ1999年2月臨時増刊号,総特集＝白洲正子,https://www.seidosha.co.jp/book/index.php?id=2853&status=published
ユリイカ1999年2月号,特集＝終末論,https://www.seidosha.co.jp/book/index.php?id=2852&status=published
ユリイカ1999年1月号,特集＝ポール・オースター,https://www.seidosha.co.jp/book/index.php?id=2851&status=published
ユリイカ2001年12月号,特集＝山田風太郎,https://www.seidosha.co.jp/book/index.php?id=2624&status=published
ユリイカ2001年11月号,特集＝〈韓国映画〉の新時代,https://www.seidosha.co.jp/book/index.php?id=2623&status=published
ユリイカ2001年10月号,特集＝村上隆vs奈良美智,https://www.seidosha.co.jp/book/index.php?id=2622&status=published
ユリイカ2001年9月号,特集＝レイナルド・アレナス,https://www.seidosha.co.jp/book/index.php?id=2620&status=published
ユリイカ2001年8月臨時増刊号,総特集＝宮崎駿『千と千尋の神隠し』の世界,https://www.seidosha.co.jp/book/index.php?id=2619&status=published
ユリイカ2001年8月号,特集＝〈沖縄〉から,https://www.seidosha.co.jp/book/index.php?id=2618&status=published
ユリイカ2001年7月号,特集＝イタリア,https://www.seidosha.co.jp/book/index.php?id=2617&status=published
ユリイカ2001年6月臨時増刊号,総特集＝野田秀樹,https://www.seidosha.co.jp/book/index.php?id=2616&status=published
ユリイカ2001年6月号,特集＝小林秀雄,https://www.seidosha.co.jp/book/index.php?id=2615&status=published
ユリイカ2001年5月号,特集＝宝塚,https://www.seidosha.co.jp/book/index.php?id=2614&status=published
ユリイカ2001年4月号,特集＝プルースト,https://www.seidosha.co.jp/book/index.php?id=2613&status=published
ユリイカ2001年3月号,特集＝新しいカフカ,https://www.seidosha.co.jp/book/index.php?id=2612&status=published
ユリイカ2001年2月号,特集＝青山真治,https://www.seidosha.co.jp/book/index.php?id=2611&status=published
ユリイカ2001年1月号,特集＝２００１年大江戸文化の旅,https://www.seidosha.co.jp/book/index.php?id=2610&status=published
ユリイカ2002年12月号,特集＝ベンヤミン,https://www.seidosha.co.jp/book/index.php?id=2609&status=published
ユリイカ2002年11月号,特集＝エリック・ロメール,https://www.seidosha.co.jp/book/index.php?id=2608&status=published
ユリイカ2002年10月臨時増刊号,総特集＝矢川澄子,https://www.seidosha.co.jp/book/index.php?id=2607&status=published
ユリイカ2002年10月号,特集＝ニール・スティーヴンスン,https://www.seidosha.co.jp/book/index.php?id=2606&status=published
ユリイカ2002年9月号,特集＝ブロンテ姉妹,https://www.seidosha.co.jp/book/index.php?id=2605&status=published
ユリイカ2002年8月号,特集＝島うた,https://www.seidosha.co.jp/book/index.php?id=2604&status=published
ユリイカ2002年7月号,特集＝高野文子,https://www.seidosha.co.jp/book/index.php?id=2603&status=published
ユリイカ2002年6月号,特集＝フットボール宣言,https://www.seidosha.co.jp/book/index.php?id=2602&status=published
ユリイカ2002年5月号,特集＝ゴダールの世紀,https://www.seidosha.co.jp/book/index.php?id=2601&status=published
ユリイカ2002年4月臨時増刊号,総特集＝『指輪物語』の世界,https://www.seidosha.co.jp/book/index.php?id=2600&status=published
ユリイカ2002年4月号,特集＝メルヴィルから始まる,https://www.seidosha.co.jp/book/index.php?id=2599&status=published
ユリイカ2002年3月号,特集＝マフマルバフ,https://www.seidosha.co.jp/book/index.php?id=2598&status=published
ユリイカ2002年2月臨時増刊号,総特集＝絵本の世界,https://www.seidosha.co.jp/book/index.php?id=2597&status=published
ユリイカ2002年2月号,特集＝光源氏幻想,https://www.seidosha.co.jp/book/index.php?id=2596&status=published
ユリイカ2002年1月号,特集＝ビョークの世界,https://www.seidosha.co.jp/book/index.php?id=2595&status=published
ユリイカ2003年12月臨時増刊号,総特集＝ロラン・バルト,https://www.seidosha.co.jp/book/index.php?id=2594&status=published
ユリイカ2003年12月号,特集＝星野道夫の世界,https://www.seidosha.co.jp/book/index.php?id=2593&status=published
ユリイカ2003年11月号,特集＝マンガはここにある・作家ファイル４５,https://www.seidosha.co.jp/book/index.php?id=2592&status=published
ユリイカ2003年10月号,特集＝煙草異論,https://www.seidosha.co.jp/book/index.php?id=2591&status=published
ユリイカ2003年9月臨時増刊号,総特集＝川上弘美読本,https://www.seidosha.co.jp/book/index.php?id=2590&status=published
ユリイカ2003年9月号,特集＝ブックデザイン批判,https://www.seidosha.co.jp/book/index.php?id=2589&status=published
ユリイカ2003年8月号,特集＝黒田硫黄,https://www.seidosha.co.jp/book/index.php?id=2588&status=published
ユリイカ2003年7月号,特集＝黒沢清,https://www.seidosha.co.jp/book/index.php?id=2587&status=published
ユリイカ2003年6月号,特集＝Ｊポップの詩学,https://www.seidosha.co.jp/book/index.php?id=2586&status=published
ユリイカ2003年5月号,特集＝谷崎潤一郎,https://www.seidosha.co.jp/book/index.php?id=2585&status=published
ユリイカ2003年4月臨時増刊号,総特集＝日本語,https://www.seidosha.co.jp/book/index.php?id=2584&status=published
ユリイカ2003年4月臨時増刊号,総特集＝吉田喜重,https://www.seidosha.co.jp/book/index.php?id=2583&status=published
ユリイカ2003年4月号,特集＝詩集のつくり方,https://www.seidosha.co.jp/book/index.php?id=2582&status=published
ユリイカ2003年3月号,特集＝ダニエル・リベスキンド,https://www.seidosha.co.jp/book/index.php?id=2581&status=published
ユリイカ2003年2月臨時増刊号,総特集＝松尾スズキ,https://www.seidosha.co.jp/book/index.php?id=2580&status=published
ユリイカ2003年2月号,特集＝カエターノ・ヴェローゾ,https://www.seidosha.co.jp/book/index.php?id=2579&status=published
ユリイカ2003年1月号,特集＝中国幻想綺譚,https://www.seidosha.co.jp/book/index.php?id=2578&status=published
ユリイカ2004年12月臨時増刊号,総特集＝多和田葉子,https://www.seidosha.co.jp/book/index.php?id=2577&status=published
ユリイカ2004年12月号,特集＝宮崎駿とスタジオジブリ,https://www.seidosha.co.jp/book/index.php?id=2576&status=published
ユリイカ2004年11月号,特集＝藤森照信,https://www.seidosha.co.jp/book/index.php?id=2575&status=published
ユリイカ2004年10月号,特集＝中村稔,https://www.seidosha.co.jp/book/index.php?id=2574&status=published
ユリイカ2004年9月臨時増刊号,総特集＝西尾維新,https://www.seidosha.co.jp/book/index.php?id=2573&status=published
ユリイカ2004年9月号,特集＝はっぴいえんど,https://www.seidosha.co.jp/book/index.php?id=2572&status=published
ユリイカ2004年8月号,特集＝文学賞ＡｔｏＺ,https://www.seidosha.co.jp/book/index.php?id=2571&status=published
ユリイカ2004年7月号,特集＝楳図かずお,https://www.seidosha.co.jp/book/index.php?id=2570&status=published
ユリイカ2004年6月号,特集＝鉄道と日本人,https://www.seidosha.co.jp/book/index.php?id=2569&status=published
ユリイカ2004年5月号,特集＝鬱･･････,https://www.seidosha.co.jp/book/index.php?id=2568&status=published
ユリイカ2004年4月号,特集＝押井守,https://www.seidosha.co.jp/book/index.php?id=2567&status=published
ユリイカ2004年3月号,特集＝論文作法,https://www.seidosha.co.jp/book/index.php?id=2566&status=published
